================================================================================
Modded-NanoGPT (RTX 4070 Laptop 8GB Optimized)
PyTorch: 2.15.0.dev20260907+cu126 | CUDA: 12.6
Device: NVIDIA GeForce RTX 4070 Laptop GPU | VRAM: 8.00 GB
================================================================================
Config: mbs=4 (4096 tokens) | batch_size=65536 tokens | grad_accum_steps=16
Validation tokens: 2097152
Starting training...
step:   0/3250 | val_loss:10.8258 | train_time:0.0s | step_avg:nanms | peak_vram:1043MB
step:   1/3250 | train_time:53.4s | step_avg:53420.0ms | peak_vram:3073MB
step:   2/3250 | train_time:61.8s | step_avg:30886.1ms | peak_vram:3840MB
step:   3/3250 | train_time:70.2s | step_avg:23386.0ms | peak_vram:3840MB
step:   4/3250 | train_time:76.5s | step_avg:19117.7ms | peak_vram:3840MB
step:   5/3250 | train_time:82.8s | step_avg:16558.4ms | peak_vram:3840MB
step:  10/3250 | train_time:114.6s | step_avg:11458.4ms | peak_vram:3840MB
step:  20/3250 | train_time:177.6s | step_avg:8877.7ms | peak_vram:3840MB
step:  30/3250 | train_time:242.1s | step_avg:8070.3ms | peak_vram:3840MB
step:  40/3250 | train_time:306.7s | step_avg:7667.2ms | peak_vram:3840MB
step:  50/3250 | train_time:369.2s | step_avg:7383.9ms | peak_vram:3840MB
step:  60/3250 | train_time:434.3s | step_avg:7238.6ms | peak_vram:3840MB
step:  70/3250 | train_time:500.7s | step_avg:7152.5ms | peak_vram:3840MB
step:  80/3250 | train_time:564.7s | step_avg:7058.5ms | peak_vram:3840MB
step:  90/3250 | train_time:632.5s | step_avg:7028.1ms | peak_vram:3840MB
step: 100/3250 | train_time:699.3s | step_avg:6993.0ms | peak_vram:3840MB
step: 110/3250 | train_time:768.3s | step_avg:6984.3ms | peak_vram:3840MB
step: 120/3250 | train_time:834.8s | step_avg:6956.5ms | peak_vram:3840MB
step: 125/3250 | val_loss:5.4162 | train_time:870.9s | step_avg:6967.1ms | peak_vram:3840MB
step: 130/3250 | train_time:904.9s | step_avg:6961.1ms | peak_vram:3840MB
step: 140/3250 | train_time:972.7s | step_avg:6948.2ms | peak_vram:3840MB
step: 150/3250 | train_time:1041.1s | step_avg:6940.8ms | peak_vram:3840MB
step: 160/3250 | train_time:1108.4s | step_avg:6927.6ms | peak_vram:3840MB
step: 170/3250 | train_time:1171.9s | step_avg:6893.4ms | peak_vram:3840MB
step: 180/3250 | train_time:1235.5s | step_avg:6863.7ms | peak_vram:3840MB
step: 190/3250 | train_time:1300.2s | step_avg:6843.4ms | peak_vram:3840MB
step: 200/3250 | train_time:1362.9s | step_avg:6814.3ms | peak_vram:3840MB
step: 210/3250 | train_time:1427.9s | step_avg:6799.4ms | peak_vram:3840MB
step: 220/3250 | train_time:1492.7s | step_avg:6785.1ms | peak_vram:3840MB
step: 230/3250 | train_time:1513.2s | step_avg:6579.1ms | peak_vram:3840MB
step: 240/3250 | train_time:1533.6s | step_avg:6389.9ms | peak_vram:3840MB
step: 250/3250 | train_time:1554.0s | step_avg:6216.0ms | peak_vram:3840MB
step: 250/3250 | val_loss:4.9136 | train_time:1554.0s | step_avg:5464.9ms | peak_vram:3840MB
step: 260/3250 | train_time:1574.5s | step_avg:6055.6ms | peak_vram:3840MB
step: 270/3250 | train_time:1595.0s | step_avg:5907.2ms | peak_vram:3840MB
step: 280/3250 | train_time:1615.5s | step_avg:5769.5ms | peak_vram:3840MB
step: 290/3250 | train_time:1635.9s | step_avg:5640.9ms | peak_vram:3840MB
step: 300/3250 | train_time:1656.4s | step_avg:5521.2ms | peak_vram:3840MB
step: 310/3250 | train_time:1676.8s | step_avg:5409.1ms | peak_vram:3840MB
step: 320/3250 | train_time:1697.3s | step_avg:5304.1ms | peak_vram:3840MB
step: 330/3250 | train_time:1717.7s | step_avg:5205.2ms | peak_vram:3840MB
step: 340/3250 | train_time:1738.1s | step_avg:5112.1ms | peak_vram:3840MB
